Episode 660; Average Reward: 284.30
Episode 661; Average Reward: 284.57
Episode 662; Average Reward: 294.30
Episode 663; Average Reward: 297.97
Episode 664; Average Reward: 298.69
Episode 665; Average Reward: 301.63
Episode 666; Average Reward: 302.18
Episode 667; Average Reward: 302.21
Episode 668; Average Reward: 301.17
Episode 669; Average Reward: 302.03
Episode 670; Average Reward: 302.46
Episode 671; Average Reward: 302.56
Episode 672; Average Reward: 302.67
Episode 673; Average Reward: 302.66
Episode 674; Average Reward: 303.96
Episode 675; Average Reward: 304.85
Episode 676; Average Reward: 302.26
Episode 677; Average Reward: 302.19
Episode 678; Average Reward: 302.73
Episode 679; Average Reward: 300.32
Episode 680; Average Reward: 299.11
Episode 681; Average Reward: 299.18
Episode 682; Average Reward: 299.24
Episode 683; Average Reward: 302.11
Episode 684; Average Reward: 301.44
Episode 685; Average Reward: 302.25
Episode 686; Average Reward: 303.95
Episode 687; Average Reward: 304.04
Episode 688; Average Reward: 302.96
Episode 689; Average Reward: 303.81
Episode 690; Average Reward: 302.52
Episode 691; Average Reward: 301.64
Episode 692; Average Reward: 302.80
Episode 693; Average Reward: 301.35
Episode 694; Average Reward: 298.63
Episode 695; Average Reward: 298.70
Episode 696; Average Reward: 300.19
Episode 697; Average Reward: 302.31
Episode 698; Average Reward: 303.40
Episode 699; Average Reward: 304.97
Episode 700; Average Reward: 304.99
Episode 701; Average Reward: 305.63
Episode 702; Average Reward: 308.16
Episode 703; Average Reward: 307.28
Episode 704; Average Reward: 305.83
Episode 705; Average Reward: 308.65
Episode 706; Average Reward: 305.63
Episode 707; Average Reward: 306.69
Episode 708; Average Reward: 305.73
Episode 709; Average Reward: 305.79
Episode 710; Average Reward: 316.27
Episode 711; Average Reward: 316.30
Episode 712; Average Reward: 315.72
Episode 713; Average Reward: 317.52
Episode 714; Average Reward: 315.33
Episode 715; Average Reward: 316.38
Episode 716; Average Reward: 313.93
Episode 717; Average Reward: 311.26
Episode 718; Average Reward: 310.07
Episode 719; Average Reward: 311.96
Episode 720; Average Reward: 312.86
Episode 721; Average Reward: 312.34
Episode 722; Average Reward: 311.17
Episode 723; Average Reward: 311.41
Episode 724; Average Reward: 313.99
Episode 725; Average Reward: 315.32
Episode 726; Average Reward: 318.27
Episode 727; Average Reward: 320.27
Episode 728; Average Reward: 318.30
Episode 729; Average Reward: 318.92
Episode 730; Average Reward: 318.18
Episode 731; Average Reward: 319.61
Episode 732; Average Reward: 320.19
Episode 733; Average Reward: 319.01
Episode 734; Average Reward: 317.58
Episode 735; Average Reward: 317.85
Episode 736; Average Reward: 318.00
Episode 737; Average Reward: 317.24
Episode 738; Average Reward: 314.87
Episode 739; Average Reward: 318.22
Episode 740; Average Reward: 316.09
Episode 741; Average Reward: 318.00
Episode 742; Average Reward: 314.59
Episode 743; Average Reward: 312.06
Episode 744; Average Reward: 314.59
Episode 745; Average Reward: 316.48
Episode 746; Average Reward: 318.31
Episode 747; Average Reward: 320.42
Episode 748; Average Reward: 319.95
Episode 749; Average Reward: 319.92
Episode 750; Average Reward: 317.71
Episode 751; Average Reward: 317.89
Episode 752; Average Reward: 319.81
Episode 753; Average Reward: 319.40
Episode 754; Average Reward: 317.38
Episode 755; Average Reward: 320.65
Episode 756; Average Reward: 320.00
Episode 757; Average Reward: 318.15
Episode 758; Average Reward: 315.85
Episode 759; Average Reward: 313.68
Episode 760; Average Reward: 311.83
Episode 761; Average Reward: 309.27
Episode 762; Average Reward: 297.57
Episode 763; Average Reward: 294.99
Episode 764; Average Reward: 294.29
Episode 765; Average Reward: 291.62
Episode 766; Average Reward: 288.91
Episode 767; Average Reward: 287.70
Episode 768; Average Reward: 286.54
Episode 769; Average Reward: 285.29
Episode 770; Average Reward: 284.86
Episode 771; Average Reward: 284.84
Episode 772; Average Reward: 284.74
Episode 773; Average Reward: 285.76
Episode 774; Average Reward: 282.13
Episode 775; Average Reward: 278.01
Episode 776; Average Reward: 281.28
Episode 777; Average Reward: 281.30
Episode 778; Average Reward: 282.80
Episode 779; Average Reward: 285.01
Episode 780; Average Reward: 286.07
Episode 781; Average Reward: 283.48
Episode 782; Average Reward: 285.29
Episode 783; Average Reward: 284.99
Episode 784; Average Reward: 284.34
Episode 785; Average Reward: 284.40
Episode 786; Average Reward: 280.15
Episode 787; Average Reward: 281.65
Episode 788; Average Reward: 285.68
Episode 789; Average Reward: 283.35
Episode 790; Average Reward: 283.72
Episode 791; Average Reward: 286.14
Episode 792; Average Reward: 285.57
Episode 793; Average Reward: 285.61
Episode 794; Average Reward: 288.30
Episode 795; Average Reward: 291.09
Episode 796; Average Reward: 286.86
Episode 797; Average Reward: 284.24
Episode 798; Average Reward: 283.35
Episode 799; Average Reward: 280.74
Episode 800; Average Reward: 279.01
Episode 801; Average Reward: 277.72
Episode 802; Average Reward: 278.25
Episode 803; Average Reward: 280.03
Episode 804; Average Reward: 284.04
Episode 805; Average Reward: 284.73
Episode 806; Average Reward: 289.05
Episode 807; Average Reward: 289.62
Episode 808; Average Reward: 291.63
Episode 809; Average Reward: 292.31
Episode 810; Average Reward: 283.69
Episode 811; Average Reward: 288.54
Episode 812; Average Reward: 289.53
Episode 813; Average Reward: 288.52
Episode 814; Average Reward: 288.80
Episode 815; Average Reward: 286.63
Episode 816; Average Reward: 287.25
Episode 817; Average Reward: 284.62
Episode 818; Average Reward: 287.20
Episode 819; Average Reward: 286.04
Episode 820; Average Reward: 283.46
Episode 821; Average Reward: 285.11
Episode 822; Average Reward: 286.30
Episode 823; Average Reward: 286.04
Episode 824; Average Reward: 284.77
Episode 825; Average Reward: 280.36
Episode 826; Average Reward: 280.80
Episode 827; Average Reward: 280.46
Episode 828; Average Reward: 281.83
Episode 829; Average Reward: 282.17
Episode 830; Average Reward: 281.53
Episode 831; Average Reward: 282.42
Episode 832; Average Reward: 281.45
Episode 833; Average Reward: 281.50
Episode 834; Average Reward: 280.33
Episode 835; Average Reward: 279.68
Episode 836; Average Reward: 277.31
Episode 837; Average Reward: 276.77
Episode 838; Average Reward: 279.04
Episode 839; Average Reward: 278.92
Episode 840; Average Reward: 277.81
Episode 841; Average Reward: 279.39
Episode 842; Average Reward: 279.42
Episode 843; Average Reward: 281.46
Episode 844; Average Reward: 279.98
Episode 845; Average Reward: 274.58
Episode 846; Average Reward: 271.76
Episode 847; Average Reward: 273.07
Episode 848; Average Reward: 273.46
Episode 849; Average Reward: 275.36
Episode 850; Average Reward: 276.49
Episode 851; Average Reward: 275.52
Episode 852; Average Reward: 274.78
Episode 853; Average Reward: 274.77
Episode 854; Average Reward: 274.82
Episode 855; Average Reward: 271.59
Episode 856; Average Reward: 273.74
Episode 857; Average Reward: 270.63
Episode 858; Average Reward: 272.77
Episode 859; Average Reward: 273.35
Episode 860; Average Reward: 275.99
Episode 861; Average Reward: 276.16
Episode 862; Average Reward: 275.85
Episode 863; Average Reward: 279.82
Episode 864; Average Reward: 281.02
Episode 865; Average Reward: 280.91
Episode 866; Average Reward: 283.80
Episode 867; Average Reward: 285.53
Episode 868; Average Reward: 290.02
Episode 869; Average Reward: 290.35
Episode 870; Average Reward: 290.37
Episode 871; Average Reward: 294.17
Episode 872; Average Reward: 294.74
Episode 873; Average Reward: 292.57
Episode 874; Average Reward: 296.75
Episode 875; Average Reward: 298.13
Episode 876; Average Reward: 297.42
Episode 877; Average Reward: 299.87
Episode 878; Average Reward: 298.82
Episode 879; Average Reward: 298.88
Episode 880; Average Reward: 297.78
Episode 881; Average Reward: 295.46
Episode 882; Average Reward: 293.57
Episode 883; Average Reward: 292.82
Episode 884; Average Reward: 292.55
Episode 885; Average Reward: 289.38
Episode 886; Average Reward: 291.78
Episode 887; Average Reward: 290.35
Episode 888; Average Reward: 288.81
Episode 889; Average Reward: 290.25
Episode 890; Average Reward: 290.32
Episode 891; Average Reward: 290.02
Episode 892; Average Reward: 290.50
Episode 893; Average Reward: 291.72
Episode 894; Average Reward: 293.24
Episode 895; Average Reward: 293.06
Episode 896; Average Reward: 296.88
Episode 897; Average Reward: 297.18
Episode 898; Average Reward: 293.27
Episode 899; Average Reward: 293.23
